taxa	log_of_highest_class_avg	class	LDA_effect_size	p_value	adj_p_value
Cutibacterium_acnes	5.466316163634544	AD_hse_child_VF	4.618175098134871	0.1334337899602131	0.3419240867730461
Cutibacterium_granulosum	3.824528397847759	AD_hse_child_VF	3.4182523722566924	0.08537576124986121	0.31514588677395283
Propionibacterium_sp__oral_taxon_193	4.639268119581067	AD_hse_child_VF	4.111789376682148	0.5099966841670542	0.6112754551342475
Rothia_mucilaginosa	4.319501203580762	AD_hse_child_LE	3.6812064222794243	0.47538399219176025	0.5906285963594597
Rothia_dentocariosa	3.889033802172477	AD_hse_child_VF	3.2461701549333903	0.1938120010379077	0.39731460212771075
Micrococcus_luteus	5.171457955503516	AD_hse_child_VF	4.546239293093012	0.9270905769107672	0.9270905769107672
Kocuria_palustris	3.735318412448082	AD_hse_child_LE	3.1588485474029095	0.8404537639692125	0.8835539569932747
Microbacterium_aurum	3.7927595003343106	AD_hse_child_VF	3.288967877697131	0.09223782051920572	0.31514588677395283
Dermacoccus_nishinomiyaensis	4.449332542491193	AD_hse_child_LE	3.988566044786747	0.7007375814286346	0.7560589694361585
Actinomyces_oris	4.444219419518831	AD_hse_child_LE	3.8910058930088667	0.3998692557105756	0.5389886339978368
Corynebacterium_ureicelerivorans	3.554375815842847	AD_hse_child_VF	3.087523181484338	0.31414363295670594	0.5297581013634742
Streptococcus_mitis	4.789983047185813	AD_hse_child_VF	4.221497896735616	0.15877850203149663	0.382936387252433
Streptococcus_oralis	4.277432246115944	AD_hse_child_VF	3.56080000834444	0.1334337899602131	0.3419240867730461
Streptococcus_sanguinis	4.100465670970633	AD_hse_child_VF	3.413303287726503	0.2721733012318962	0.5142412400044842
Streptococcus_pneumoniae	4.57896329355445	AD_hse_child_VF	3.973924249622758	0.18155355445479954	0.3917734596129885
Streptococcus_gordonii	3.7855279953371777	AD_hse_child_VF	3.3137795781332353	0.1113313383086489	0.3260417764753289
Streptococcus_parasanguinis	3.7366264881628104	AD_hse_child_VF	3.339031034227316	0.05942678458435612	0.31514588677395283
Streptococcus_salivarius	3.959265705134915	AD_hse_child_VF	3.478800277392972	0.036948224097207986	0.3029754375971055
Streptococcus_sp__oral_taxon_431	3.8335887521954963	AD_hse_child_VF	3.397719045520043	0.17564448357023824	0.3917734596129885
Streptococcus_pseudopneumoniae	3.978511312857837	AD_hse_child_VF	3.4308312269259793	0.10335410491389495	0.3259629462668994
Streptococcus_sp__NPS_308	3.5742635872376227	AD_hse_child_VF	3.1764175606840857	0.08210284214827679	0.31514588677395283
Staphylococcus_aureus	5.381036419898503	AD_hse_child_LE	5.03097492429535	0.005718863967927355	0.1280855604028729
Staphylococcus_epidermidis	4.752472944752393	AD_hse_child_LE	4.285799260593972	0.8691716836486474	0.8909009757398635
Staphylococcus_hominis	3.6920868403642317	AD_hse_child_VF	3.1427731515705206	0.6738081110380967	0.7466522311503233
Staphylococcus_capitis	3.863731004691563	AD_hse_child_LE	3.322043853804483	0.3998692557105756	0.5389886339978368
Veillonella_parvula	3.9448654613443352	AD_hse_child_VF	3.3520626119327477	0.023247195148468326	0.3029754375971055
Pseudomonas_aeruginosa	4.0656283429206805	AD_hse_child_LE	3.6382805794919726	0.3796956866518861	0.5389886339978368
Pseudomonas_putida	3.764059717089746	AD_hse_child_VF	3.0624948123509204	0.3230232325387038	0.5297581013634742
Moraxella_osloensis	4.756467987076134	AD_hse_child_VF	4.164769276229002	0.06194050021700888	0.31514588677395283
Acinetobacter_junii	3.7675813281445274	AD_hse_child_VF	3.317275731742296	0.07893242086151704	0.31514588677395283
Haemophilus_parainfluenzae	3.9060679400070097	AD_hse_child_VF	3.235472752309682	0.28847679317324726	0.5142412400044842
Stenotrophomonas_maltophilia	3.856255628833594	AD_hse_child_VF	3.2286750318168598	0.5829809413647593	0.6639505165543091
Neisseria_subflava	3.8929051631090066	AD_hse_child_LE	3.22219495961242	0.4206740558031897	0.5389886339978368
Neisseria_elongata	3.731830331877257	AD_hse_child_VF	3.14144918552096	0.4101932668862286	0.5389886339978368
Neisseria_sicca	3.974408402531415	AD_hse_child_VF	3.29536290483086	0.5218205104804552	0.6112754551342475
Neisseria_mucosa	3.9425504463695313	AD_hse_child_VF	3.2484801041855302	0.3998591965150914	0.5389886339978368
Neisseria_meningitidis	3.920011571950008	AD_hse_child_VF	3.34604248795286	0.2884665020078972	0.5142412400044842
Sphingomonas_melonis	3.605758602941527	AD_hse_child_VF	3.0777671952549257	0.0546529610272763	0.31514588677395283
Roseomonas_sp__FDAARGOS_362	3.8791372336704497	AD_hse_child_LE	3.243160547409678	0.3998692557105756	0.5389886339978368
Magnetospirillum_gryphiswaldense	3.658812688850332	AD_hse_child_LE	3.27920826016625	0.006248076117213312	0.1280855604028729
Prevotella_melaninogenica	3.989423395895293	AD_hse_child_VF	3.5282772910285654	0.03375903999858643	0.3029754375971055
