taxa	log_of_highest_class_avg	class	LDA_effect_size	p_value	adj_p_value
Cutibacterium_acnes	5.500305224513503	ctrl_hse_child_VF	4.429452681884546	0.4400234054776212	0.7517066510242695
Cutibacterium_granulosum	3.824528397407828	AD_hse_child_VF	3.398583489012275	0.8565898546941836	0.8565898546941836
Propionibacterium_sp__oral_taxon_193	4.639268118438467	AD_hse_child_VF	4.029475707172062	0.7300907315928878	0.8254815103476462
Rothia_mucilaginosa	4.41569702003766	ctrl_hse_child_VF	3.7276184047061873	0.2710143030723729	0.6504836723505332
Rothia_dentocariosa	3.889033801951861	AD_hse_child_VF	3.285168999346947	0.5652858406929715	0.7991972230486838
Micrococcus_luteus	5.171457955900542	AD_hse_child_VF	4.404753993737486	0.2710143030723729	0.6504836723505332
Kocuria_palustris	4.070032693895896	ctrl_hse_child_VF	3.553472290579526	0.08160420399372896	0.31504068571943317
Microbacterium_aurum	3.7927594996091663	AD_hse_child_VF	3.1633496916660007	0.28557819761730724	0.6504836723505332
Dermacoccus_nishinomiyaensis	4.3342910987503105	AD_hse_child_VF	3.9727086182910214	0.28557819761730724	0.6504836723505332
Actinomyces_oris	4.446623018058607	ctrl_hse_child_VF	3.6826817454772423	0.1943301707417843	0.6504836723505332
Corynebacterium_ureicelerivorans	3.703945895091695	ctrl_hse_child_VF	3.11955836151577	0.24343459874373485	0.6504836723505332
Streptococcus_mitis	4.841918397713644	ctrl_hse_child_VF	4.02175539211356	0.05668381386703964	0.31504068571943317
Streptococcus_oralis	4.292735403566259	ctrl_hse_child_VF	3.425796536000822	0.366215971990272	0.7321336655970139
Streptococcus_sanguinis	4.11276267697921	ctrl_hse_child_VF	3.357352907267904	0.08452311080277476	0.31504068571943317
Streptococcus_pneumoniae	4.646454210051325	ctrl_hse_child_VF	3.830241352452208	0.06821301820516552	0.31504068571943317
Streptococcus_gordonii	3.785527995819947	AD_hse_child_VF	3.24369465257454	0.6573479658755965	0.8215409059493038
Streptococcus_parasanguinis	3.7366264883494225	AD_hse_child_VF	3.100986574612998	0.7926578472462936	0.8254815103476462
Streptococcus_salivarius	3.9909099966882757	ctrl_hse_child_VF	3.330576994467136	0.4113956320865867	0.7333574311108719
Streptococcus_sp__oral_taxon_431	3.913990727856428	ctrl_hse_child_VF	3.269014174577313	0.041632864795995206	0.31504068571943317
Streptococcus_pseudopneumoniae	4.051328268470648	ctrl_hse_child_VF	3.299253901629853	0.07333512215370658	0.31504068571943317
Streptococcus_sp__NPS_308	3.574263585718082	AD_hse_child_VF	3.157327013870464	0.39294006087594674	0.7322973861779007
Staphylococcus_aureus	4.770531403889593	AD_hse_child_VF	4.3975952435201995	0.003274128082107623	0.04474641712213751
Staphylococcus_epidermidis	4.2842717426083174	AD_hse_child_VF	3.5641678470096636	0.7055327825479243	0.8254815103476462
Staphylococcus_hominis	4.119854491616282	ctrl_hse_child_VF	3.6466844466542785	0.0023710626937388938	0.04474641712213751
Staphylococcus_capitis	3.634453495935552	AD_hse_child_VF	3.1163288540077883	0.35756601367435437	0.7321336655970139
Veillonella_parvula	4.018311521420978	ctrl_hse_child_VF	3.2608325795506907	0.6692709140691702	0.8215409059493038
Pseudomonas_aeruginosa	3.885104519061627	AD_hse_child_VF	3.362170324206466	0.8053478149733134	0.8254815103476462
Pseudomonas_putida	3.7640597163472163	AD_hse_child_VF	3.1455372181400447	0.46976142427564876	0.7704087358120639
Moraxella_osloensis	4.834804735906738	ctrl_hse_child_VF	3.964201469515642	0.7674451175456998	0.8254815103476462
Acinetobacter_junii	3.9446020299815894	ctrl_hse_child_VF	3.3617463668716243	0.6221086446818803	0.8215409059493038
Haemophilus_parainfluenzae	4.173008311981448	ctrl_hse_child_VF	3.5855849150100436	0.007408650213302315	0.07593866468634873
Stenotrophomonas_maltophilia	3.9401178375920143	ctrl_hse_child_VF	3.268525707128234	0.7549286289095568	0.8254815103476462
Neisseria_subflava	4.127850630097667	ctrl_hse_child_VF	3.5500229971851827	0.0787676219470246	0.31504068571943317
Neisseria_elongata	3.731830332227805	AD_hse_child_VF	3.1431564669164747	0.5542277426653877	0.7991972230486838
Neisseria_sicca	3.974408402834188	AD_hse_child_VF	3.216800002207379	0.6221086446818803	0.8215409059493038
Neisseria_mucosa	3.9425504467087404	AD_hse_child_VF	3.202359631825138	0.6812778244457642	0.8215409059493038
Neisseria_meningitidis	3.920011571244434	AD_hse_child_VF	3.3275921560050565	0.23041032729337066	0.6504836723505332
Sphingomonas_melonis	3.626873216659916	ctrl_hse_child_VF	3.1377486366199374	0.5110831360635286	0.7760892066149879
Roseomonas_sp__FDAARGOS_362	3.839995918549366	ctrl_hse_child_VF	3.173594015076518	0.3749952921350559	0.7321336655970139
Magnetospirillum_gryphiswaldense	3.91526825173919	ctrl_hse_child_VF	3.5470706304334794	0.0021838144829976758	0.04474641712213751
Prevotella_melaninogenica	3.989423396459985	AD_hse_child_VF	3.382980709934764	0.5005778127085377	0.7760892066149879
