taxa	log_of_highest_class_avg	class	LDA_effect_size	p_value	adj_p_value
Cutibacterium_acnes	5.420846822752088	ctrl_hse_child_AC	4.606903137580088	0.25696768863001773	0.34906414374226663
Cutibacterium_granulosum	3.4413997675599823	ctrl_hse_child_AC	3.1390749402426894	0.7177753022026829	0.73571968475775
Propionibacterium_sp__oral_taxon_193	4.393034512049074	ctrl_hse_child_AC	3.7435899874471112	0.6933660252332577	0.7289232572965018
Rothia_mucilaginosa	4.3195012036024085	AD_hse_child_LE	3.610550284361984	0.26392654770756746	0.34906414374226663
Rothia_dentocariosa	3.8732043960645703	AD_hse_child_LE	3.342652396984679	0.9084438430993075	0.9084438430993075
Micrococcus_luteus	5.137419265931039	ctrl_hse_child_AC	4.36761390653806	0.2782313940692373	0.3564839736512103
Kocuria_palustris	4.213841510115135	ctrl_hse_child_AC	3.7163407465410616	0.1675806832153487	0.27483232047317185
Microbacterium_aurum	3.8926574534338436	ctrl_hse_child_AC	3.3616308662009615	0.04867171451964154	0.1219866553437696
Dermacoccus_nishinomiyaensis	4.449332542486551	AD_hse_child_LE	4.0114982544308795	0.3162678115025952	0.39293879610928495
Actinomyces_oris	4.444219419527668	AD_hse_child_LE	3.873564444342269	0.10040772373292374	0.178987681436951
Corynebacterium_ureicelerivorans	3.898511819484701	ctrl_hse_child_AC	3.3482120804992177	0.02546221838765538	0.08699591282448921
Streptococcus_mitis	4.840630794317119	ctrl_hse_child_AC	4.291350463129711	0.004254994939484372	0.030617297972193345
Streptococcus_oralis	4.288220039230409	ctrl_hse_child_AC	3.5728649194425244	0.09378956277056623	0.178987681436951
Streptococcus_sanguinis	4.066959755243749	ctrl_hse_child_AC	3.317515691709868	0.022394845720999625	0.08347169768736223
Streptococcus_pneumoniae	4.6181802574060695	ctrl_hse_child_AC	4.033889162070786	0.015037997168994522	0.06850643154764172
Streptococcus_gordonii	3.674234353713422	ctrl_hse_child_AC	3.2318378111091084	0.0277008532294128	0.08736422941584036
Streptococcus_parasanguinis	3.615754399398226	ctrl_hse_child_AC	3.18817326675729	0.06821301820516552	0.13983668732058932
Streptococcus_salivarius	3.902235996653023	ctrl_hse_child_AC	3.3352907770690097	0.004480580191052685	0.030617297972193345
Streptococcus_sp__oral_taxon_431	3.921182925962209	ctrl_hse_child_AC	3.4501643038601584	0.008996700159511728	0.04610808831749761
Streptococcus_pseudopneumoniae	4.050341919641438	ctrl_hse_child_AC	3.537493332213674	0.005495312415421354	0.03218682986175364
Streptococcus_sp__NPS_308	3.559120411930394	ctrl_hse_child_AC	3.2155624428037353	0.06108448507960514	0.13913688268132282
Staphylococcus_aureus	5.381036419896488	AD_hse_child_LE	5.090978597977333	4.223600574017402e-6	1.280223193780679e-4
Staphylococcus_epidermidis	4.752472944753557	AD_hse_child_LE	4.254874423181099	0.5110831360635286	0.5663353669893155
Staphylococcus_hominis	4.843319289138705	ctrl_hse_child_AC	4.512376817170205	6.244991189174044e-6	1.280223193780679e-4
Staphylococcus_capitis	3.863731004702418	AD_hse_child_LE	3.3955278842132026	0.050579832703514224	0.1219866553437696
Veillonella_parvula	3.9086863380219983	ctrl_hse_child_AC	3.315405579525712	0.045036452645580885	0.1219866553437696
Pseudomonas_aeruginosa	4.065628342930655	AD_hse_child_LE	3.6135877412638244	0.45972722479560707	0.5235782282394413
Pseudomonas_putida	3.6908611108713605	AD_hse_child_LE	3.270753562364871	0.5432765690272342	0.5861668244767527
Moraxella_osloensis	4.802556116627552	ctrl_hse_child_AC	4.164685940086552	0.20586496538040575	0.31015834780043083
Acinetobacter_junii	3.6874756783141516	ctrl_hse_child_AC	3.271194992448346	0.04001439870993965	0.11718502479339468
Haemophilus_parainfluenzae	4.108901130653683	ctrl_hse_child_AC	3.446537674578625	0.02144639182258309	0.08347169768736223
Stenotrophomonas_maltophilia	3.8159903682073004	ctrl_hse_child_AC	3.1561779467965194	0.39294006087594674	0.4603012141689662
Neisseria_subflava	3.982478667927442	ctrl_hse_child_AC	3.2420778099587673	0.11858601005639569	0.20258443384634262
Neisseria_elongata	3.7510546692046316	ctrl_hse_child_AC	3.0963290536291237	0.2118154570344406	0.31015834780043083
Neisseria_sicca	4.057707472227024	ctrl_hse_child_AC	3.279310954026091	0.25696768863001773	0.34906414374226663
Neisseria_mucosa	3.986963954733133	ctrl_hse_child_AC	3.194905777352467	0.2058572164214207	0.31015834780043083
Neisseria_meningitidis	3.8509549882715834	ctrl_hse_child_AC	3.1593716843430744	0.09704783281041093	0.178987681436951
Sphingomonas_melonis	3.985106406570492	ctrl_hse_child_AC	3.462527530344741	0.06821301820516552	0.13983668732058932
Roseomonas_sp__FDAARGOS_362	4.004721528249529	ctrl_hse_child_AC	3.370795255542794	0.003834452478818102	0.030617297972193345
Magnetospirillum_gryphiswaldense	4.053221191290091	ctrl_hse_child_AC	3.6102694776873983	3.484892162699305e-5	4.7626859556890497e-4
Prevotella_melaninogenica	3.7563334369202064	ctrl_hse_child_AC	3.1677614912146206	0.3323958713476896	0.4008303154486845
