species	p	padj	cliff_delta	AD_median	AD_IQR	ctrl_median	ctrl_IQR
Acinetobacter_junii	0.00358677620856642	0.008626497395932449	-0.4444444444444445	6.466131923144531	2.0692477171306702	7.811782328066081	1.489752934863608
Actinomyces_oris	6.839867263185053e-4	0.0040062079684369594	-0.5135802469135803	8.008473087251916	3.1235153081923297	10.003722497599345	2.071993754814727
Corynebacterium_ureicelerivorans	0.001353843460268611	0.0053580750206566885	-0.48641975308641977	6.145287253635322	2.364717785973305	7.721883752321373	1.8652295560563488
Dermacoccus_nishinomiyaensis	0.0037872427591898556	0.008626497395932449	-0.4419753086419753	6.561106225355431	2.682760318426655	8.61148133589742	2.5477905709655913
Haemophilus_parainfluenzae	4.193622239798662e-5	4.2984627957936287e-4	-0.6098765432098765	7.512196824512393	3.4584624569960845	9.03498606434273	2.082073996139794
Kocuria_palustris	6.414529828325374e-4	0.0040062079684369594	-0.5160493827160494	6.58014213874771	1.8503063104439947	7.935748245111634	2.0504955267108302
Magnetospirillum_gryphiswaldense	1.6482916424567596e-5	3.3789978670363573e-4	-0.6666666666666666	6.54440678047148	6.616899395817956	8.530780968724532	1.629876049865417
Microbacterium_aurum	0.001821124588553472	0.006222175677557696	-0.4740740740740741	6.692833100575268	2.330862545373386	8.23708962396255	2.4694729561527202
Micrococcus_luteus	0.0014375323226152091	0.0053580750206566885	-0.4839506172839506	10.706109753659172	2.8785293273166346	12.534425345809996	2.871934469524037
Moraxella_osloensis	0.01605723638733437	0.022701610064852037	-0.37037037037037035	10.305235135216963	2.3620347138415543	11.405861617214448	1.6715937030871704
Neisseria_elongata	0.007848895698953383	0.012872188946283548	-0.4074074074074074	6.636515324084737	2.961553193539734	7.539568730097384	2.0220347652698303
Neisseria_meningitidis	0.002208765221099145	0.006720321853248621	-0.4740740740740741	6.219187248613434	2.8641560953469725	8.657328252714645	2.1397491509679387
Neisseria_mucosa	0.011051310742973662	0.016781620017108152	-0.39012345679012345	6.463944341750221	3.606732569193409	8.33507983222232	2.434259276897877
Neisseria_sicca	0.006412756577463555	0.012576028149769847	-0.41728395061728396	7.423047906689022	3.079620912349645	8.495644190804898	2.4069057452396505
Neisseria_subflava	0.001353843460268611	0.0053580750206566885	-0.48641975308641977	6.908394716505415	2.901890468963142	8.6975926944409	2.437301264637046
Pseudomonas_aeruginosa	0.03082513204598331	0.037171482761332815	-0.3333333333333333	6.592716935774737	2.4371579318482075	7.883318511098594	1.677028064222215
Roseomonas_sp._FDAARGOS_362	3.294720539672913e-5	4.2984627957936287e-4	-0.6172839506172839	6.639448419644049	2.5305989832015134	8.891512745512145	1.6459095392008791
Rothia_mucilaginosa	0.0067481126657301625	0.012576028149769847	-0.4148148148148148	8.020601016975379	2.8342453061356156	9.621255485430801	1.7572951919863176
Sphingomonas_melonis	0.02099886504208994	0.02777269247502218	-0.35555555555555557	6.654016501339852	2.649751547312322	7.761313900603077	1.8823887068425407
Staphylococcus_aureus	0.0022947440474507487	0.006720321853248621	0.4641975308641975	10.641725429522642	3.7114986879418357	8.262015550251139	2.2877916027933702
Staphylococcus_capitis	0.012740764748672508	0.01865611981055617	-0.38271604938271603	6.102201636533266	2.9078142193864895	7.454507232972764	2.35924784070337
Staphylococcus_hominis	3.388120731992167e-6	1.3891295001167885e-4	-0.6814814814814815	7.676489905335281	3.3631521464551177	10.063058625469804	2.1399807176292125
Stenotrophomonas_maltophilia	0.0229124806091905	0.029356615780525327	-0.3506172839506173	7.451860427245414	2.517584164826637	8.369007514699458	2.855009367932226
Streptococcus_gordonii	0.007465582687593426	0.012753703757972102	-0.40987654320987654	6.574427974597306	3.790737769908615	7.881075593234907	1.9732262250453436
Streptococcus_mitis	0.0014375323226152091	0.0053580750206566885	-0.4839506172839506	9.728973250676695	2.5954596759707336	11.235283329984966	1.1241378420089418
Streptococcus_oralis	0.007465582687593426	0.012753703757972102	-0.40987654320987654	9.302404136312903	3.6141422600055417	9.747331779074532	1.410317971540639
Streptococcus_parasanguinis	0.01838567600548884	0.025127090540834746	-0.362962962962963	6.509535764041318	3.04801195924916	7.532085193678878	2.141140306926962
Streptococcus_pneumoniae	0.0067481126657301625	0.012576028149769847	-0.4148148148148148	9.36507568626398	3.1807304731714723	10.532616012256476	1.2456171350428846
Streptococcus_pseudopneumoniae	0.003214044360157418	0.008626497395932449	-0.44938271604938274	7.332546024598487	2.670567236302075	8.577353505818966	1.276020342469451
Streptococcus_salivarius	0.00358677620856642	0.008626497395932449	-0.4444444444444445	6.216587452172002	3.4483385569052523	8.54873751413297	2.0993944877404864
Streptococcus_sanguinis	2.3417030505204213e-4	0.0019201965014267453	-0.5530864197530864	7.125638098942652	2.8221514065631963	8.857708553950076	1.940438587366236
Streptococcus_sp._NPS_308	0.010036784657387155	0.015827237344341282	-0.3950617283950617	6.626114607387459	3.255234126839892	7.400247699980357	1.6336797190139922
Streptococcus_sp._oral_taxon_431	0.004449972199032346	0.009602571587385589	-0.4345679012345679	6.684675154265015	2.8859715747762893	8.091715611777428	2.2753068665958196
Veillonella_parvula	0.027189244771757076	0.03378057683763758	-0.34074074074074073	7.226351676295665	4.09762659072633	8.617851983639785	2.3615925682714174
