B19_nasal_ax_groin	A04_lesion	D27_nasal_ax_groin	D04_nasal_ax_groin	C10_nasal_ax_groin	A29_nasal_ax_groin	D06_nasal_ax_groin	C02_nasal_ax_groin	D23_nasal_ax_groin	C09_nasal_ax_groin	A09_lesion	A06_nasal_ax_groin	D09_nasal_ax_groin	C29_nasal_ax_groin	A07_lesion	A11_nasal_ax_groin	A03_lesion	A23_nasal_ax_groin	B18_nasal_ax_groin	D17_nasal_ax_groin	C17_nasal_ax_groin	C25_nasal_ax_groin	A12_nasal_ax_groin	A17_nasal_ax_groin	A06_lesion	C15_nasal_ax_groin	D24_nasal_ax_groin	B07_nasal_ax_groin	D02_nasal_ax_groin	B17_nasal_ax_groin	A13_lesion	B08_nasal_ax_groin	C12_nasal_ax_groin	A05_lesion	A17_lesion	A10_nasal_ax_groin	D30_nasal_ax_groin	A24_nasal_ax_groin	B11_nasal_ax_groin	D11_nasal_ax_groin	C30_nasal_ax_groin	C08_nasal_ax_groin	B15_nasal_ax_groin	A25_nasal_ax_groin	D22_nasal_ax_groin	A08_lesion	A15_nasal_ax_groin	A01_nasal_ax_groin	A08_nasal_ax_groin	A07_nasal_ax_groin	C18_nasal_ax_groin	A18_nasal_ax_groin
B19_nasal_ax_groin 0 0.00317063 0.00024157 0.00310234 0.00872752 0.00012732 0.00312730 0.00832341 0.00323803 0.00341892 0.00331591 0.00010646 0.00801368 0.00804490 0.00315809 0.00557720 0.00008731 0.00312614 0.00317035 0.00337015 0.00355039 0.00273534 0.00530821 0.00275662 0.00330489 0.00716365 0.00336685 0.00309237 0.00272938 0.00273601 0.00767458 0.00008591 0.00351390 0.00010633 0.00277153 0.00811903 0.00316438 0.00327533 0.00529011 0.00550037 0.00866122 0.00527517 0.00301791 0.00317038 0.00311879 0.00008935 0.00693888 0.00349236 0.00008966 0.00342439 0.00308605 0.00317531
A04_lesion 0.00317063 0 0.00322471 0.00343496 0.00896215 0.00320366 0.00018088 0.00838270 0.00342283 0.00346140 0.00334986 0.00322443 0.00813961 0.00828882 0.00014645 0.00574074 0.00322767 0.00340225 0.00336522 0.00256136 0.00346656 0.00333905 0.00546531 0.00331137 0.00341603 0.00721722 0.00341963 0.00015392 0.00328474 0.00330838 0.00758346 0.00316289 0.00346248 0.00319760 0.00335580 0.00828975 0.00015478 0.00319433 0.00541113 0.00572885 0.00893348 0.00543139 0.00328770 0.00018590 0.00341137 0.00314939 0.00703221 0.00360917 0.00318679 0.00347721 0.00336285 0.00336122
D27_nasal_ax_groin 0.00024157 0.00322471 0 0.00306450 0.00849384 0.00024567 0.00318624 0.00826824 0.00320473 0.00337305 0.00328101 0.00023161 0.00787910 0.00793066 0.00319387 0.00542239 0.00023341 0.00311036 0.00319464 0.00341447 0.00358277 0.00272269 0.00532548 0.00275128 0.00328413 0.00698812 0.00340466 0.00315145 0.00276088 0.00274135 0.00773343 0.00023199 0.00355703 0.00023379 0.00276481 0.00790673 0.00320181 0.00323595 0.00530657 0.00542193 0.00831689 0.00531561 0.00302442 0.00316219 0.00311170 0.00023549 0.00685370 0.00345417 0.00023357 0.00341584 0.00309510 0.00319088
D04_nasal_ax_groin 0.00310234 0.00343496 0.00306450 0 0.00898572 0.00312870 0.00334526 0.00848587 0.00321502 0.00355252 0.00328306 0.00316403 0.00810081 0.00825017 0.00337558 0.00564366 0.00311484 0.00009510 0.00320926 0.00334278 0.00347009 0.00332080 0.00543971 0.00337731 0.00329815 0.00717106 0.00352183 0.00325744 0.00329457 0.00333689 0.00783236 0.00306831 0.00345885 0.00315145 0.00340543 0.00822421 0.00327478 0.00339496 0.00540795 0.00554359 0.00875163 0.00548000 0.00009156 0.00332841 0.00009280 0.00303801 0.00710722 0.00351255 0.00308828 0.00359926 0.00009665 0.00317586
C10_nasal_ax_groin 0.00872752 0.00896215 0.00849384 0.00898572 0 0.00888823 0.00861707 0.00030588 0.00888756 0.00865764 0.00865353 0.00872389 0.00743601 0.00754441 0.00888647 0.00856107 0.00888275 0.00904070 0.00877183 0.00862150 0.00856416 0.00917387 0.00813721 0.00907528 0.00879896 0.00800459 0.00855524 0.00845092 0.00879842 0.00901680 0.00713242 0.00856168 0.00853386 0.00880752 0.00912972 0.00740618 0.00875195 0.00871347 0.00812267 0.00861933 0.00033738 0.00798927 0.00877962 0.00895494 0.00900347 0.00843972 0.00804605 0.00859429 0.00869891 0.00872859 0.00883911 0.00873236
A29_nasal_ax_groin 0.00012732 0.00320366 0.00024567 0.00312870 0.00888823 0 0.00319591 0.00840766 0.00326843 0.00345166 0.00337968 0.00011213 0.00808301 0.00793731 0.00318571 0.00564764 0.00011697 0.00315927 0.00321941 0.00340027 0.00358114 0.00275846 0.00534234 0.00282489 0.00338015 0.00718703 0.00337750 0.00311654 0.00276192 0.00279928 0.00775158 0.00011499 0.00355247 0.00012623 0.00285016 0.00814884 0.00320312 0.00326877 0.00531473 0.00555948 0.00872042 0.00531514 0.00305581 0.00319974 0.00315499 0.00011367 0.00698384 0.00349732 0.00011890 0.00345841 0.00313471 0.00321880
D06_nasal_ax_groin 0.00312730 0.00018088 0.00318624 0.00334526 0.00861707 0.00319591 0 0.00834786 0.00337823 0.00338495 0.00334222 0.00316580 0.00796679 0.00797920 0.00018441 0.00566053 0.00316256 0.00330514 0.00335987 0.00255026 0.00344048 0.00325312 0.00544737 0.00326784 0.00332373 0.00708847 0.00334265 0.00019089 0.00323477 0.00324932 0.00763871 0.00310156 0.00344416 0.00318113 0.00330645 0.00808857 0.00015313 0.00310547 0.00538601 0.00560222 0.00868773 0.00538406 0.00322936 0.00016530 0.00329626 0.00310184 0.00692648 0.00352917 0.00313015 0.00346093 0.00326014 0.00335717
C02_nasal_ax_groin 0.00832341 0.00838270 0.00826824 0.00848587 0.00030588 0.00840766 0.00834786 0 0.00834887 0.00829549 0.00835750 0.00822422 0.00725432 0.00721286 0.00837003 0.00811413 0.00835003 0.00854423 0.00827891 0.00823966 0.00829040 0.00863914 0.00796771 0.00865053 0.00831613 0.00774595 0.00835056 0.00821664 0.00859494 0.00856363 0.00714252 0.00828616 0.00834085 0.00835150 0.00870284 0.00722980 0.00841666 0.00835519 0.00792165 0.00816592 0.00030539 0.00789541 0.00835211 0.00840769 0.00853105 0.00823837 0.00766768 0.00829790 0.00833882 0.00834427 0.00845072 0.00825317
D23_nasal_ax_groin 0.00323803 0.00342283 0.00320473 0.00321502 0.00888756 0.00326843 0.00337823 0.00834887 0 0.00353555 0.00337806 0.00330713 0.00805102 0.00811815 0.00338038 0.00576281 0.00325393 0.00325146 0.00031158 0.00330980 0.00359461 0.00343176 0.00547869 0.00343934 0.00339006 0.00720685 0.00350556 0.00329986 0.00335651 0.00338357 0.00778329 0.00320751 0.00361037 0.00323718 0.00345497 0.00811048 0.00338862 0.00336486 0.00538615 0.00573893 0.00881217 0.00538269 0.00316677 0.00341841 0.00324393 0.00319785 0.00703344 0.00357388 0.00323520 0.00360191 0.00321645 0.00032442
C09_nasal_ax_groin 0.00341892 0.00346140 0.00337305 0.00355252 0.00865764 0.00345166 0.00338495 0.00829549 0.00353555 0 0.00359182 0.00342062 0.00795452 0.00801122 0.00340010 0.00565526 0.00344401 0.00362140 0.00354834 0.00347444 0.00342948 0.00351294 0.00548327 0.00351535 0.00362138 0.00702024 0.00013297 0.00333409 0.00351200 0.00349560 0.00767353 0.00338522 0.00342829 0.00348330 0.00354400 0.00796996 0.00343126 0.00343127 0.00538698 0.00554408 0.00853133 0.00540420 0.00351525 0.00341235 0.00360220 0.00336343 0.00693771 0.00358132 0.00341777 0.00012444 0.00360767 0.00354282
A09_lesion 0.00331591 0.00334986 0.00328101 0.00328306 0.00865353 0.00337968 0.00334222 0.00835750 0.00337806 0.00359182 0 0.00331444 0.00810031 0.00810873 0.00337913 0.00565034 0.00334847 0.00334586 0.00330011 0.00327453 0.00350954 0.00336366 0.00540860 0.00337752 0.00028074 0.00726020 0.00356762 0.00328361 0.00329247 0.00336118 0.00774315 0.00327145 0.00355353 0.00335697 0.00342587 0.00811410 0.00333880 0.00323806 0.00538574 0.00560275 0.00865131 0.00537282 0.00326247 0.00336102 0.00334223 0.00324942 0.00694978 0.00350273 0.00331866 0.00367678 0.00330321 0.00329592
A06_nasal_ax_groin 0.00010646 0.00322443 0.00023161 0.00316403 0.00872389 0.00011213 0.00316580 0.00822422 0.00330713 0.00342062 0.00331444 0 0.00810369 0.00789854 0.00318008 0.00556868 0.00009844 0.00313651 0.00320226 0.00341307 0.00357355 0.00274328 0.00528602 0.00277359 0.00333187 0.00720375 0.00338849 0.00309921 0.00274339 0.00277485 0.00768579 0.00009768 0.00355009 0.00010344 0.00278940 0.00818743 0.00317824 0.00327940 0.00525543 0.00553690 0.00869331 0.00524046 0.00302717 0.00321636 0.00313178 0.00009871 0.00689782 0.00350278 0.00010026 0.00339605 0.00309654 0.00320775
D09_nasal_ax_groin 0.00801368 0.00813961 0.00787910 0.00810081 0.00743601 0.00808301 0.00796679 0.00725432 0.00805102 0.00795452 0.00810031 0.00810369 0 0.00015979 0.00810829 0.00779711 0.00813107 0.00817649 0.00799739 0.00794913 0.00786651 0.00834651 0.00744785 0.00832149 0.00811637 0.00729661 0.00784204 0.00773490 0.00808619 0.00823861 0.00017494 0.00789841 0.00787426 0.00813373 0.00840201 0.00010395 0.00799184 0.00800343 0.00742458 0.00771183 0.00745538 0.00735211 0.00792595 0.00811450 0.00819671 0.00783576 0.00720059 0.00783139 0.00799215 0.00808014 0.00800773 0.00795921
C29_nasal_ax_groin 0.00804490 0.00828882 0.00793066 0.00825017 0.00754441 0.00793731 0.00797920 0.00721286 0.00811815 0.00801122 0.00810873 0.00789854 0.00015979 0 0.00810498 0.00786665 0.00790475 0.00828096 0.00805397 0.00803752 0.00788487 0.00841079 0.00742377 0.00833188 0.00816674 0.00738375 0.00790760 0.00773719 0.00815426 0.00827524 0.00022381 0.00794626 0.00797329 0.00828352 0.00840176 0.00010729 0.00801620 0.00808006 0.00739785 0.00780807 0.00740341 0.00733413 0.00795365 0.00821708 0.00825738 0.00787217 0.00723916 0.00789424 0.00808395 0.00815834 0.00809882 0.00798946
A07_lesion 0.00315809 0.00014645 0.00319387 0.00337558 0.00888647 0.00318571 0.00018441 0.00837003 0.00338038 0.00340010 0.00337913 0.00318008 0.00810829 0.00810498 0 0.00571576 0.00319104 0.00333722 0.00338078 0.00256823 0.00345894 0.00328140 0.00547007 0.00331355 0.00332157 0.00717519 0.00336169 0.00001803 0.00326917 0.00330298 0.00765309 0.00312314 0.00345540 0.00321959 0.00334186 0.00816215 0.00013294 0.00313764 0.00541875 0.00570660 0.00878478 0.00541475 0.00328571 0.00015862 0.00333871 0.00311819 0.00704426 0.00357548 0.00315192 0.00344716 0.00329565 0.00337486
